ID,Genus,Name,Dev,Stage,Maxilla,Mouth_Angle,Tip from premaxilla to dorsal fin insertion,Breast,Pelvic_to_anal_fin,Dorsal Fin Length,Anal_Fin_Length,Standard_Length,Body_Depth,Orbit_Diameter,Head_Length,Lower_Jaw_Length,Notes,,Tip from premaxilla to dorsal fin insertion,Breast,Pelvic_to_anal_fin,Dorsal Fin Length,Anal_Fin_Length,Standard_Length,Body_Depth,Orbit_Diameter,Head_Length,Lower_Jaw_Length
MCZ_148268,Pteraclis,Pteraclis carolinus,Juvenile,0,0.121,,0.302,0.128,0.214,0.517,0.329,0.712,0.365,0.165,0.302,0.203,,,0.004756505,0.002016002,0.003370503,0.008142758,0.005181755,1,0.005748756,0.002598753,0.004756505,0.003197253
MCZ_148269,Pteraclis,Pteraclis carolinus,Juvenile,0,0.257,,0.324,0.226,0.297,1.273,0.809,1.47,0.742,0.319,0.649,0.367,,,0.005103005,0.003559504,0.004677755,0.02004977,0.012741763,1,0.011686512,0.005024255,0.01022176,0.005780256
MCZ_148270,Pteraclis,Pteraclis carolinus,Juvenile,0,0.14,,0.3,0.087,0.051,0.697,0.433,0.862,0.426,0.202,0.396,0.218,,,0.004725005,0.001370251,0.000803251,0.010977761,0.006819757,1,0.006709507,0.003181503,0.006237006,0.003433503
MCZ_148271,Pteraclis,Pteraclis carolinus,Juvenile,0,0.135,,0.329,0.099,0.082,0.574,0.502,0.821,0.447,0.148,0.316,0.2,,,0.005181755,0.001559252,0.001291501,0.009040509,0.007906508,1,0.007040257,0.002331002,0.004977005,0.003150003
MCZ_148276_1,Pterycombus,Pterycombus brama,Adult,1,0.533,,1.104,0.165,0.572,3.96,3.771,5.174,2.201,0.525,1.275,0.849,,,0.017388017,0.002598753,0.009009009,0.062370062,0.059393309,1,0.034665785,0.008268758,0.02008127,0.013371763
MCZ_148276_2,Pterycombus,Pterycombus brama,Adult,1,0.395,,1.057,0.237,0.429,2.611,2.241,3.694,1.659,0.522,1.303,0.847,,,0.016647767,0.003732754,0.006756757,0.041123291,0.035295785,1,0.026129276,0.008221508,0.020522271,0.013340263
MCZ_148277,Pterycombus,Pterycombus brama,Adult,1,1.18,,1.851,0.608,1.062,10.536,9.207,12.416,4.312,1.227,3.028,1.788,,,0.029153279,0.00957601,0.016726517,0.165942166,0.145010395,1,0.067914068,0.019325269,0.047691048,0.028161028
MCZ_148287,Brama,Brama dussumieri,Adult,1,1.31,,6.4,4.103,2.874,8.77,6.864,15.163,7.821,1.114,3.949,2.267,,,0.100800101,0.064622315,0.045265545,0.138127638,0.108108108,1,0.123180873,0.017545518,0.062196812,0.035705286
MCZ_148287_2,Brama,Brama dussumieri,Adult,1,0.808,,3.596,2.649,1.623,5.08,4.08,8.842,4.329,0.756,2.594,1.431,,,0.056637057,0.041721792,0.025562276,0.08001008,0.064260064,1,0.068181818,0.011907012,0.040855541,0.022538273
MCZ_148381,Caristius,Caristius fasciatus,Juvenile,0,0.635,,1.204,0.857,0.95,1.332,1.503,4.04,2.347,0.791,1.809,1.31,,,0.018963019,0.013497763,0.014962515,0.020979021,0.023672274,1,0.036965287,0.012458262,0.028491778,0.020632521
MCZ_150538_1,Taractichthys,Taractichthys steindachneri,Juvenile,0,0.609,,1.645,0.882,1.312,1.721,1.205,3.54,1.845,0.517,1.445,0.828,,,0.025908776,0.013891514,0.020664021,0.027105777,0.018978769,1,0.029058779,0.008142758,0.022758773,0.013041013
MCZ_150538_2,Taractichthys,Taractichthys steindachneri,Juvenile,0,0.704,,0.802,1.725,0.775,1.479,2.895,4.968,2.916,0.533,1.935,1.008,,,0.012631513,0.027168777,0.012206262,0.023294273,0.045596296,1,0.045927046,0.008394758,0.03047628,0.015876016
MCZ_161671,Taractes,Taractes asper,Juvenile,0,0.535,,1.827,0.663,1.242,1.8,1.411,4.109,1.737,0.615,1.503,0.996,,,0.028775279,0.01044226,0.01956152,0.028350028,0.022223272,1,0.027357777,0.00968626,0.023672274,0.015687016
MCZ_161934,Pterycombus,Pterycombus brama,Adult,1,0.82,,1.238,0.753,0.375,4.926,4.111,6.22,2.441,0.743,1.831,1.097,,,0.019498519,0.011859762,0.005906256,0.077584578,0.064748315,1,0.038445788,0.011702262,0.028838279,0.017277767
MCZ_161935,Pterycombus,Pterycombus brama,Adult,1,0.508,,1.129,0.435,0.345,3.225,2.586,4.219,1.876,0.481,1.329,0.872,,,0.017781768,0.006851257,0.005433755,0.050793801,0.040729541,1,0.02954703,0.007575758,0.020931771,0.013734014
MCZ_163284,Pterycombus,Pterycombus brama,Adult,1,0.58,,1.086,0.333,0.403,3.603,2.954,4.599,1.932,0.527,1.52,1.038,,,0.017104517,0.005244755,0.006347256,0.056747307,0.046525547,1,0.03042903,0.008300258,0.023940024,0.016348516
MCZ_164024,Caristius,Caristius fasciatus,Adult,1,1.985,,4.463,2.437,7.367,14.508,6.536,18.035,9.208,1.645,4.533,2.299,,,0.07029232,0.038382788,0.116030366,0.228501229,0.102942103,1,0.145026145,0.025908776,0.071394821,0.036209286
MCZ_164530,Brama,Brama brama,Adult,1,1.464,,4.888,3.232,1.961,7.049,5.609,11.876,5.586,1.105,3.401,1.595,,,0.076986077,0.050904051,0.030885781,0.111021861,0.088341838,1,0.087979588,0.017403767,0.053565804,0.025121275
MCZ_165872,Brama,Brama brama,Adult,1,0.544,,2.198,1.383,0.768,3.081,2.167,5.199,2.642,0.592,1.423,0.857,,,0.034618535,0.021782272,0.012096012,0.048525799,0.034130284,1,0.041611542,0.009324009,0.022412272,0.013497763
MCZ_171433,Pteraclis,Pteraclis carolinus,Juvenile,0,0.262,,0.442,0.172,0.135,1.335,1.095,1.537,0.784,0.284,0.722,0.417,,,0.006961507,0.002709003,0.002126252,0.021026271,0.017246267,1,0.012348012,0.004473004,0.011371511,0.006567757
MCZ_174129,Pterycombus,Pterycombus brama,Adult,1,3.21,,7.377,3.643,2.573,21.641,19.532,27.497,12.168,2.266,5.949,4.301,,,0.116187866,0.057377307,0.040524791,0.340846091,0.307629308,1,0.191646192,0.035689536,0.093696844,0.067740818
MCZ_31600,Brama,Brama sp.,Adult,1,3.984,,20.103,10.695,8.31,28.369,20.863,50.323,20.821,3.057,12.127,6.344,,,0.316622567,0.168446418,0.130882631,0.446812197,0.328592579,1,0.327931078,0.048147798,0.191000441,0.0999181
MCZ_40826_1,Brama,Brama brama,Juvenile,0,0.782,,0.982,1.767,1.306,3.138,2.189,5.567,2.93,0.658,1.834,0.996,,,0.015466515,0.027830278,0.020569521,0.049423549,0.034476784,1,0.046147546,0.01036351,0.028885529,0.015687016
MCZ_40826_2,Brama,Brama brama,Juvenile,0,0.626,,2.341,1.347,1.063,2.763,1.893,5.115,2.469,0.563,1.522,0.895,,,0.036870787,0.021215271,0.016742267,0.043517294,0.02981478,1,0.038886789,0.008867259,0.023971524,0.014096264
MCZ_40826_3,Brama,Brama brama,Juvenile,0,0.515,,1.841,0.865,0.624,1.845,1.495,3.517,1.945,0.485,1.326,0.754,,,0.028995779,0.013623764,0.00982801,0.029058779,0.023546274,1,0.030633781,0.007638758,0.020884521,0.011875512
MCZ_40826_4,Brama,Brama brama,Juvenile,0,0.399,,1.372,0.686,0.531,1.383,1.063,2.648,1.377,0.411,0.998,0.708,Blurry,,0.021609022,0.010804511,0.008363258,0.021782272,0.016742267,1,0.021687772,0.006473256,0.015718516,0.011151011
MCZ_40826_5,Brama,Brama brama,Juvenile,0,0.387,,1.463,0.615,0.368,1.22,0.931,1.976,1.097,0.356,0.866,0.453,,,0.023042273,0.00968626,0.005796006,0.019215019,0.014663265,1,0.017277767,0.005607006,0.013639514,0.007134757
MCZ_41558,Taractes,Taractes rubescens,Juvenile,0,0.341,,0.974,0.268,0.201,0.643,0.469,1.616,0.849,0.424,0.827,0.443,,,0.015340515,0.004221004,0.003165753,0.01012726,0.007386757,1,0.013371763,0.006678007,0.013025263,0.006977257
MCZ_46332,Brama,Brama raii,Adult,1,3.356,,13.49,1.646,4.677,18.898,13.066,31.265,13.883,2.196,8.524,4.461,,,0.212467712,0.025924526,0.073662824,0.297643798,0.205789706,1,0.218657469,0.034587035,0.134253134,0.07026082
MCZ_46338,Brama,Brama raii,Adult,1,3.349,,18.613,6.742,6.192,19.526,17.96,37.596,15.969,2.208,9.191,5.132,,,0.293155043,0.106186606,0.097524098,0.307534808,0.282870283,1,0.251512002,0.034776035,0.144758395,0.080829081
MCZ_55043,Eumegistus,Eumegistus brevorti,Juvenile,0,0.383,,1.339,0.344,0.633,1.114,0.659,2.226,1.379,0.459,1.049,0.62,,,0.021089271,0.005418005,0.00996976,0.017545518,0.01037926,1,0.021719272,0.007229257,0.016521767,0.00976501
MCZ_55044,Taractichthys,Taractichthys longipinnis,Juvenile,0,0.367,,0.975,0.218,0.184,0.834,0.474,1.493,0.912,0.345,0.7,0.444,,,0.015356265,0.003433503,0.002898003,0.013135513,0.007465507,1,0.014364014,0.005433755,0.011025011,0.006993007
MCZ_55045,Taractes,Taractes longipinnis,Juvenile,0,0.334,,1.075,0.573,0.329,0.691,0.65,1.653,1.021,0.396,0.831,0.456,,,0.016931267,0.009024759,0.005181755,0.010883261,0.01023751,1,0.016080766,0.006237006,0.013088263,0.007182007
MCZ_55338,Pteraclis,Pteraclis carolinus,Juvenile,0,0.188,,0.302,0.061,0.114,1.102,0.948,1.316,0.618,0.248,0.507,0.337,,,0.004756505,0.000960751,0.001795502,0.017356517,0.014931015,1,0.00973351,0.003906004,0.007985258,0.005307755
MCZ_57529,Brama,Brama sp.,Adult,1,3.779,,21.303,10.738,7.647,28.496,21.892,47.892,20.833,3.004,12.647,6.172,,,0.335522586,0.169123669,0.12044037,0.448812449,0.344799345,1,0.328120078,0.047313047,0.199190449,0.097209097
MCZ_59501,Pterycombus,Pterycombus brama,Adult,1,0.743,,1.541,0.711,0.291,6.671,5.814,7.96,3.09,0.618,1.964,1.035,,,0.024270774,0.011198261,0.004583255,0.105068355,0.091570592,1,0.048667549,0.00973351,0.030933031,0.016301266
MCZ_59503,Pterycombus,Pterycombus petersii,Adult,1,1.28,,4.576,1.228,1.047,14.342,5.693,16.537,6.446,1.195,3.325,2.082,,,0.072072072,0.019341019,0.016490266,0.225886726,0.08966484,1,0.101524602,0.018821269,0.052368802,0.032791533
MCZ_76100,Pterycombus,Pterycombus brama,Juvenile,0,0.607,,0.902,0.653,0.312,2.071,1.579,2.722,1.425,0.429,1.077,0.608,,,0.014206514,0.01028476,0.004914005,0.032618283,0.024869275,1,0.022443772,0.006756757,0.016962767,0.00957601
MCZ_76104_1,Pterycombus,Pterycombus brama,Juvenile,0,0.248,,0.512,0.188,0.131,0.676,0.453,1.063,0.562,0.227,0.472,0.292,,,0.008064008,0.002961003,0.002063252,0.010647011,0.007134757,1,0.008851509,0.003575254,0.007434007,0.004599005
MCZ_76104_2,Pterycombus,Pterycombus brama,Juvenile,0,0.314,,0.59,0.114,0.167,0.788,0.402,1.173,0.649,0.295,0.598,0.348,Crooked body,,0.009292509,0.001795502,0.002630253,0.012411012,0.006331506,1,0.01022176,0.004646255,0.009418509,0.005481005
MCZ_76104_3,Pterycombus,Pterycombus brama,Juvenile,0,0.449,,0.787,0.243,0.241,1.435,1.044,2.017,1.114,0.395,0.941,0.569,,,0.012395262,0.003827254,0.003795754,0.022601273,0.016443016,1,0.017545518,0.006221256,0.014820765,0.008961759
MCZ_76104_4,Pterycombus,Pterycombus brama,Juvenile,0,0.53,,0.881,0.375,0.309,2.129,1.51,2.815,1.322,0.389,1.072,0.689,,,0.013875764,0.005906256,0.004866755,0.033531784,0.023782524,1,0.020821521,0.006126756,0.016884017,0.010851761
MCZ_76104_6,Pterycombus,Pterycombus brama,Juvenile,0,0.411,,0.818,0.374,0.2,1.84,1.442,2.457,1.141,0.382,0.943,0.486,,,0.012883513,0.005890506,0.003150003,0.028980029,0.022711523,1,0.017970768,0.006016506,0.014852265,0.007654508
MCZ_76111_1,Pterycombus,Pterycombus brama,Juvenile,0,0.375,,0.855,0.434,0.14,1.71,1.439,2.373,1.241,0.454,0.981,0.555,,,0.013466263,0.006835507,0.002205002,0.026932527,0.022664273,1,0.01954577,0.007150507,0.015450765,0.008741259
MCZ_76111_2,Pterycombus,Pterycombus brama,Juvenile,0,0.438,,0.921,0.322,0.271,1.907,1.414,2.504,1.256,0.401,1.022,0.68,,,0.014505765,0.005071505,0.004268254,0.03003528,0.022270522,1,0.01978202,0.006315756,0.016096516,0.010710011
MCZ_76111_3,Pterycombus,Pterycombus brama,Juvenile,0,0.544,,1.032,0.388,0.278,2.343,1.905,3.123,1.36,0.479,1.15,0.711,,,0.016254016,0.006111006,0.004378504,0.036902287,0.03000378,1,0.021420021,0.007544258,0.018112518,0.011198261
MCZ_76111_4,Pterycombus,Pterycombus brama,Juvenile,0,0.572,,1.05,0.487,0.36,3.308,2.601,4.265,1.751,0.538,1.363,0.793,,,0.016537517,0.007670258,0.005670006,0.052101052,0.040965791,1,0.027578278,0.008473508,0.021467271,0.012489762
MCZ_76112,Pterycombus,Pterycombus brama,Juvenile,0,0.265,,0.79,0.186,0.236,1.118,0.412,1.548,0.9,0.325,0.776,0.462,Tail is bent,,0.012442512,0.002929503,0.003717004,0.017608518,0.006489006,1,0.014175014,0.005118755,0.012222012,0.007276507
MCZ_76115,Pterycombus,Pterycombus brama,Juvenile,0,0.519,,0.631,0.303,0.156,2.278,1.653,2.675,1.301,0.422,1.027,0.578,,,0.00993826,0.004772255,0.002457002,0.035878536,0.026034776,1,0.02049077,0.006646507,0.016175266,0.009103509
MCZ_98532,Brama,Brama japonica,Adult,1,1.186,,3.766,2.212,2.012,5.09,4.241,8.697,4.713,0.762,2.212,1.492,,,0.059314559,0.034839035,0.031689032,0.08016758,0.066795817,1,0.074229824,0.012001512,0.034839035,0.023499023
NSMT_P_41654,Xenobrama,Xenobrama microlepis,Adult,1,3.86,,19.505,5.119,11.568,26.622,16.864,45.205,19.31,3.338,12.38,6.549,,,0.307204057,0.080624331,0.182196182,0.419296919,0.265608266,1,0.304132804,0.052573553,0.194985195,0.103146853
NSMT_P_41655,Xenobrama,Xenobrama microlepis,Adult,1,3.49,,17.913,5.595,9.193,26.32,16.902,44.887,19.218,3.444,11.794,7.072,,,0.282130032,0.088121338,0.144789895,0.414540415,0.266206766,1,0.302683803,0.054243054,0.185755686,0.111384111
NSMT_P_41694,Xenobrama,Xenobrama microlepis,Adult,1,3.683,,15.639,7.015,12.901,26.575,15.99,46.312,17.139,3.542,12.565,7.605,,,0.246314496,0.11048636,0.203190953,0.418556669,0.251842752,1,0.26993952,0.055786556,0.197898948,0.11977887
NSMT_P_41695,Xenobrama,Xenobrama microlepis,Adult,1,3.749,,18.413,5.4,11.082,26.256,17.564,44.547,18.034,2.885,9.775,7.026,,,0.29000504,0.085050085,0.174541675,0.413532414,0.276633277,1,0.284035784,0.045438795,0.153956404,0.110659611
NSMT_P_41696,Xenobrama,Xenobrama microlepis,Adult,1,3.229,,16.125,5.262,10.021,26.587,15.727,43.407,17.629,2.997,11.59,6.8,,,0.253969004,0.082876583,0.157830908,0.418745669,0.247700498,1,0.277657028,0.047202797,0.182542683,0.107100107
NSMT_P_41697,Xenobrama,Xenobrama microlepis,Adult,1,3.924,,16.174,4.992,11.037,26.062,16.087,43.752,17.416,2.443,9.798,6.546,,,0.254740755,0.078624079,0.173832924,0.41047691,0.253370503,1,0.274302274,0.038477288,0.154318654,0.103099603
NSMT_P_41698,Xenobrama,Xenobrama microlepis,Adult,1,3.572,,14.577,5.671,11.055,26.729,17.153,44.103,17.333,2.814,10.374,7.99,,,0.22958798,0.089318339,0.174116424,0.420982171,0.27016002,1,0.272995023,0.044320544,0.163390663,0.125842626
NSMT_P_41848,Xenobrama,Xenobrama microlepis,Adult,1,4.001,,18.342,5.489,9.375,27.931,18.78,47.359,18.573,3.105,12.25,7.182,,,0.288886789,0.086451836,0.147656398,0.43991369,0.295785296,1,0.292525043,0.048903799,0.192937693,0.113116613
NSMT_P_41927,Xenobrama,Xenobrama microlepis,Adult,1,3.24,,16.582,5.628,11.182,26.193,16.585,44.036,17.796,3.32,9.993,6.285,,,0.261166761,0.088641089,0.176116676,0.412540163,0.261214011,1,0.28028728,0.052290052,0.157389907,0.098988849
NSMT_P_41947,Xenobrama,Xenobrama microlepis,Adult,1,3.226,,12.895,4.221,7.129,23.032,13.876,34.331,15.488,2.677,9.617,4.749,,,0.203096453,0.066480816,0.112281862,0.362754363,0.218547219,1,0.243936244,0.042162792,0.151467901,0.074796825
NSMT_P_41949,Xenobrama,Xenobrama microlepis,Adult,1,3.52,,13.589,4.553,9.379,21.588,14.222,35.937,14.67,2.278,8.598,5.509,,,0.214026964,0.071709822,0.147719398,0.34001134,0.223996724,1,0.231052731,0.035878536,0.135418635,0.086766837
NSMT_P_43079,Xenobrama,Xenobrama microlepis,Adult,1,3.759,,16.496,6.591,10.306,27.021,15.972,42.895,17.996,2.902,10.595,6.528,,,0.25981226,0.103808354,0.162319662,0.425581176,0.251559252,1,0.283437283,0.045706546,0.166871417,0.102816103
NSMT_P_43080,Xenobrama,Xenobrama microlepis,Adult,1,3.396,,16.905,3.393,13.126,29.434,18.699,49.862,19.304,3.528,11.509,6.695,,,0.266254016,0.053439803,0.206734707,0.463585964,0.294509545,1,0.304038304,0.055566056,0.181266931,0.105446355
NSMT_P_44284,Xenobrama,Xenobrama microlepis,Adult,1,3.812,,16.972,3.814,12.008,31.525,18.568,46.938,20.306,2.799,11.502,6.687,,,0.267309267,0.06007056,0.189126189,0.496519247,0.292446292,1,0.31981982,0.044084294,0.181156681,0.105320355
NSMT_P_44297,Xenobrama,Xenobrama microlepis,Adult,1,1.662,,12.173,2.837,8.558,20.23,13,34.346,13.013,1.908,6.848,2.553,,,0.191724942,0.044682795,0.134788635,0.318622819,0.204750205,1,0.204954955,0.03005103,0.107856108,0.04020979
NSMT_P_44299,Xenobrama,Xenobrama microlepis,Adult,1,3.496,,19.085,2.469,12.078,29.142,19.263,49.285,18.974,3.061,10.674,5.76,,,0.300589051,0.038886789,0.19022869,0.458986959,0.303392553,1,0.298840799,0.048210798,0.168115668,0.090720091
NSMT_P_64804,Pteraclis,Pteraclis aesticola,Adult,1,4.652,,5.546,1.683,2.109,42.644,38.193,46.12,12.022,2.086,8.636,4.378,,,0.087349587,0.026507277,0.033216783,0.671643672,0.601540352,1,0.189346689,0.032854533,0.136017136,0.068953569
NSMT_P_64809,Eumegistus,Eumegistus illustris,Adult,1,2.801,,15.246,4.412,8.704,23.42,13.727,39.337,16.513,2.047,8.421,4.673,,,0.24012474,0.069489069,0.137088137,0.368865369,0.216200466,1,0.26008001,0.032240282,0.132630883,0.073599824
UC_raii,Brama,Brama brama,Adult,1,2.509,,12.028,7.115,4.263,14.966,11.784,25.264,12.391,1.735,6.806,4.148,,,0.189441189,0.112061362,0.067142317,0.235714736,0.185598186,1,0.195158445,0.027326277,0.107194607,0.065331065
Uc_sp19-3,Taractichthys,Taractichthys longipinnis,Adult,1,2.671,,16.529,4.728,9.445,20.036,17.511,34.527,17.873,2.186,9.77,5.625,,,0.26033201,0.074466074,0.148758899,0.315567316,0.275798526,1,0.281500032,0.034429534,0.153877654,0.088593839
